,Villes,Notes
715,Noisy-le-Sec,2.4
716,Vienne,2.4
717,Bougival,2.4
718,Bagnols-sur-Cèze,2.4
719,Annemasse,2.4
720,Sarcelles,2.4
721,Vitry-sur-Seine,2.4
722,Carmaux,2.3
723,Ivry-sur-Seine,2.3
724,Saint-Denis,2.3
725,Vif,2.3
726,Creil,2.3
727,Aubervilliers,2.3
728,Lillers,2.3
729,Bagneux,2.3
730,Port-de-Bouc,2.2
731,Woippy,2.2
732,Vaujours,2.2
733,La Celle-Saint-Cloud,2.2
734,La Courneuve,2.1
735,Villeneuve-Saint-Georges,2.1
736,Corbeil-Essonnes,2.1
737,Bagnolet,2
738,Argenteuil,2
739,Bondy,1.9
740,Tarascon,1.9
741,Coursan,1.8
742,Castillon-la-Bataille,1.6
743,Garges-lès-Gonesse,1.3
